-14.39,-13.39,-12.39,-11.39,-10.39,-9.39,-8.39,-7.39,-6.39,-5.39,-4.39,-3.39,-2.39,-1.39,-0.39
-14.18,-13.18,-12.18,-11.18,-10.18,-9.18,-8.18,-7.18,-6.18,-5.18,-4.18,-3.18,-2.18,-1.18,-0.18
-14.03,-13.03,-12.03,-11.03,-10.03,-9.03,-8.03,-7.03,-6.03,-5.03,-4.03,-3.03,-2.03,-1.03,-0.03
-13.92,-12.92,-11.92,-10.92,-9.92,-8.92,-7.92,-6.92,-5.92,-4.92,-3.92,-2.92,-1.92,-0.92,0.08
-13.84,-12.84,-11.84,-10.84,-9.84,-8.84,-7.84,-6.84,-5.84,-4.84,-3.84,-2.84,-1.84,-0.84,0.16
-13.79,-12.79,-11.79,-10.79,-9.79,-8.79,-7.79,-6.79,-5.79,-4.79,-3.79,-2.79,-1.79,-0.79,0.21
-13.78,-12.78,-11.78,-10.78,-9.78,-8.78,-7.78,-6.78,-5.78,-4.78,-3.78,-2.78,-1.78,-0.78,0.22
-13.80,-12.80,-11.80,-10.80,-9.80,-8.80,-7.80,-6.80,-5.80,-4.80,-3.80,-2.80,-1.80,-0.80,0.20
-13.84,-12.84,-11.84,-10.84,-9.84,-8.84,-7.84,-6.84,-5.84,-4.84,-3.84,-2.84,-1.84,-0.84,0.16
-13.87,-12.87,-11.87,-10.87,-9.87,-8.87,-7.87,-6.87,-5.87,-4.87,-3.87,-2.87,-1.87,-0.87,0.13
-13.88,-12.88,-11.88,-10.88,-9.89,-8.89,-7.89,-6.89,-5.89,-4.89,-3.88,-2.88,-1.88,-0.88,0.12
-13.85,-12.85,-11.85,-10.85,-9.85,-8.85,-7.85,-6.85,-5.85,-4.85,-3.85,-2.85,-1.85,-0.85,0.15
-13.75,-12.75,-11.75,-10.75,-9.75,-8.75,-7.75,-6.75,-5.75,-4.75,-3.75,-2.75,-1.75,-0.75,0.25
-13.59,-12.61,-11.61,-10.60,-9.60,-8.60,-7.60,-6.60,-5.60,-4.60,-3.60,-2.60,-1.60,-0.60,0.40
-13.80,-12.76,-11.64,-10.54,-9.51,-8.51,-7.50,-6.50,-5.50,-4.50,-3.50,-2.50,-1.50,-0.50,0.50
-14.06,-13.06,-12.06,-11.05,-9.97,-8.72,-7.53,-6.46,-5.44,-4.43,-3.43,-2.43,-1.43,-0.43,0.57
-12.33,-11.82,-11.30,-10.73,-10.05,-9.19,-8.22,-7.18,-5.82,-4.56,-3.47,-2.44,-1.43,-0.43,0.57
-9.70,-9.22,-8.73,-8.23,-7.73,-7.23,-6.72,-6.19,-5.51,-4.60,-3.69,-2.57,-1.50,-0.47,0.54
-6.65,-6.57,-6.39,-6.08,-5.66,-5.19,-4.70,-4.21,-3.71,-3.21,-2.72,-2.23,-1.52,-0.53,0.49
-3.71,-3.52,-3.46,-3.42,-3.36,-3.23,-2.96,-2.58,-2.12,-1.63,-1.14,-0.69,-0.33,0.12,0.71
-3.49,-2.52,-1.66,-1.18,-1.00,-0.94,-0.89,-0.81,-0.63,-0.31,0.11,0.57,1.01,1.37,1.76
-3.93,-2.94,-1.94,-0.95,-0.02,0.62,0.89,0.99,1.04,1.12,1.30,1.61,2.02,2.40,2.74
