star, feh, lc, cfe, ln, nfe, lsi, sife, sih
SDSSJ102915+172927, -4.99, <, 0.7, <, 0.2, nan, 0.72, -4.27
HE0107-5240, -5.3, nan, nan, nan, nan, <, 0.32, -4.98
CS31085-024, -2.8, nan, 0.36, <, -0.24, nan, 0.39, -2.41
BS17570-063, -2.95, nan, 0.4, nan, nan, nan, 0.51, -2.44
HE0028-2152, -2.74, nan, nan, nan, nan, nan, 0.3, -2.44
HE0049-3948, -3.68, <, 1.81, <, 2.4, nan, -0.01, -3.69
HE0054-2123, -2.59, nan, nan, nan, nan, nan, 0.27, -2.32
HE0102-0633, -2.9, nan, nan, nan, nan, nan, 0.29, -2.61
HE0102-1213, -3.28, <, 1.31, nan, nan, nan, 0.16, -3.12
HE0105-2202, -2.75, nan, nan, nan, nan, nan, 0.39, -2.36
HE0130-2303, -3.02, nan, nan, nan, nan, nan, -0.07, -3.09
HE0132-2439, -3.79, nan, 0.62, nan, 1.07, nan, 0.66, -3.13
HE0142+0147, -2.67, nan, nan, nan, nan, nan, 0.45, -2.22
HE0146-1548, -3.46, nan, 0.84, nan, nan, nan, 0.5, -2.96
HE0207-1423, -2.95, nan, 2.38, nan, nan, nan, 0.5, -2.45
HE0218-2738, -3.57, nan, nan, nan, nan, nan, 0.05, -3.52
HE0228-4047, -3.75, <, 1.88, nan, nan, nan, 0.35, -3.4
HE0228-4047, -3.75, <, 1.98, nan, nan, nan, 0.34, -3.41
HE0231-6025, -3.1, <, 1.64, nan, nan, nan, 0.02, -3.08
HE0242-0732, -3.3, nan, nan, nan, nan, nan, 0.29, -3.01
HE0253-1331, -3.01, <, 1.64, nan, nan, nan, 0.07, -2.94
CS22963-004, -3.54, nan, 0.4, nan, 0.8, nan, 0.58, -2.96
LP831-70, -2.95, nan, nan, nan, nan, nan, 0.24, -2.71
HE0314-1739, -2.86, <, 1.49, nan, nan, nan, -0.1, -2.96
HE0355-3728, -3.41, <, 2.14, nan, nan, nan, 0.1, -3.31
HE0355-3728, -3.41, <, 2.34, nan, nan, nan, 0.2, -3.21
CS22177-009, -2.98, nan, 0.38, nan, nan, nan, 0.1, -2.88
BD+03deg740, -2.7, nan, 0.59, <, 0.29, nan, 0.17, -2.53
HE0508-1555, -2.4, nan, nan, nan, nan, nan, 0.31, -2.09
54142-2667-094, -2.96, <, 1.39, nan, nan, nan, -0.05, -3.01
52972-1213-507, -2.98, nan, 2.82, nan, nan, <, 1.5, -1.48
HE0945-1435, -3.77, <, 1.7, nan, nan, <, 2, -1.77
HE0945-1435, -3.78, <, 1.81, nan, nan, <, 2, -1.78
HE1055+0104, -2.87, <, 1.2, nan, nan, nan, 0.46, -2.41
HE1055+0104, -2.89, <, 1.42, nan, nan, nan, 0.5, -2.39
HE1116-0054, -3.49, <, 1.72, <, 2.91, <, 1.7, -1.79
HE1116-0054, -3.48, <, 1.92, <, 2.91, <, 1.7, -1.78
BS16545-089, -3.44, <, 1.77, nan, nan, <, 1.5, -1.94
53436-1996-093, -3.53, <, 1.66, nan, nan, <, 1.8, -1.73
BS16077-007, -2.77, nan, 0.6, <, 0.8, nan, 0.23, -2.54
HE1142-1422, -2.84, <, 1.57, <, 2.51, nan, -0.12, -2.96
HE1204-0744, -2.71, <, 1.55, nan, nan, nan, -0.34, -3.05
HE1207-3108, -2.7, <, -0.27, nan, 0.42, nan, 0.16, -2.54
BS16076-006, -3.51, nan, 0.34, nan, nan, nan, 0.31, -3.2
HE1320+0038, -2.68, nan, nan, nan, nan, nan, 0.05, -2.63
HE1320-2952, -3.69, <, 0.52, <, 0.86, nan, 0.68, -3.01
BS16467-062, -3.8, nan, 0.4, <, 0.45, nan, 0.46, -3.34
HE1346-0427, -3.57, <, 1.1, nan, nan, <, 1.8, -1.77
HE1346-0427, -3.58, <, 1.31, nan, nan, <, 1.8, -1.78
HE1347-1025, -3.71, nan, 0.15, nan, nan, nan, 0.79, -2.92
HE1356-0622, -3.63, <, -0.05, nan, nan, nan, 0.97, -2.66
BS16023-046, -2.83, nan, 0.55, nan, nan, nan, -0.05, -2.88
HE1402-0523, -3.17, <, 1.5, <, 1.84, nan, 0.1, -3.07
HE1402-0523, -3.19, <, 1.62, <, 1.96, nan, 0.09, -3.1
BS16550-087, -3.54, nan, -0.49, nan, 1.11, nan, 0.59, -2.95
HE1424-0241, -4.05, <, 0.63, <, 1.13, nan, -0.89, -4.94
BS16968-061, -2.85, nan, 0.45, nan, nan, nan, 0.33, -2.52
HE1506-0113, -3.54, nan, 1.47, nan, 0.61, nan, 0.5, -3.04
HD140283, -2.56, nan, 0.28, nan, nan, nan, 0.39, -2.17
CS22884-108, -3.3, <, 0.92, <, 1.22, nan, 0.26, -3.04
BS16084-160, -3.2, nan, -0.12, nan, 0.78, nan, 0.87, -2.33
CS22872-102, -2.94, nan, 0.6, <, 0.55, nan, 0.44, -2.5
BS16080-054, -2.94, nan, -0.45, nan, 0.75, nan, 0.67, -2.27
CS22878-101, -3.31, nan, -0.29, nan, 1.33, nan, 0.56, -2.75
BS16080-093, -3.23, <, -0.63, nan, nan, nan, 0.64, -2.59
G139-8, -2.03, nan, nan, nan, nan, nan, 0.11, -1.92
CS22950-046, -3.39, nan, nan, nan, nan, nan, 0.68, -2.71
HE2020-5228, -2.93, <, 1.66, <, 2.3, nan, 0.1, -2.83
HE2032-5633, -3.63, <, 2.36, <, 2.6, nan, 0.33, -3.3
CS30336-049, -4.1, <, 0.23, nan, 0.97, nan, 0.43, -3.67
HE2047-5612, -3.14, <, 1.37, <, 1.91, nan, 0.05, -3.09
CS29506-007, -2.73, nan, 0.49, <, 0.93, nan, 0.14, -2.59
CS29506-090, -2.62, nan, 0.41, nan, nan, nan, 0.19, -2.43
HE2135-1924, -3.31, <, 1.74, nan, nan, nan, -0.04, -3.35
HE2136-6030, -2.88, <, 1.71, nan, nan, nan, 1.21, -1.67
HE2139-5432, -4.02, nan, 2.59, nan, 2.08, nan, 1, -3.02
HE2141-0726, -2.72, <, 1.55, nan, nan, nan, -0.05, -2.77
HE2142-5656, -2.87, nan, 0.95, nan, 0.54, nan, 0.35, -2.52
CS22948-093, -3.17, nan, nan, nan, nan, nan, 0.51, -2.66
CS22965-054, -3.1, nan, 0.62, nan, nan, nan, 0.08, -3.02
HE2209-1240, -2.59, nan, nan, nan, nan, nan, 0.26, -2.33
HE2246-2410, -2.96, <, 1.39, <, 2.28, nan, 0.02, -2.94
HE2247-7400, -2.87, nan, 0.7, nan, nan, nan, 0.8, -2.07
CD-24deg17504, -3.38, nan, nan, nan, nan, nan, 0.13, -3.25
CS22888-031, -3.31, nan, 0.38, nan, nan, nan, 0.36, -2.95
CS22966-011, -3.02, nan, 0.45, nan, nan, nan, 0.13, -2.89
HE2341-2029, -2.6, nan, nan, nan, nan, nan, 0.33, -2.27
CS29499-060, -2.5, nan, 0.38, nan, nan, nan, 0.05, -2.45
