wavelen(um), n, k
0.0000248, 0.9999, 0.0000000000538
0.0000310, 0.9999, 0.000000000135
0.0000413, 0.9999, 0.00000000048
0.0000620, 0.9999, 0.00000000204
0.0001240, 0.9999, 0.0000000333
0.0001550, 0.9999, 0.0000000827
0.0002070, 0.9999, 0.000000275
0.0003100, 0.9999, 0.00000119
0.0006200, 0.9999, 0.0000175
0.0008270, 0.9999, 0.0000476
0.0009540, 0.9999, 0.0000150
0.0009840, 0.9999, 0.00000815
0.0009920, 0.9999, 0.00000709
0.0010300, 0.9999, 0.00000894
0.0012400, 0.9990, 0.0000186
0.0015500, 0.9996, 0.0000441
0.00207, 0.9990, 0.000139
0.00248, 0.9987, 0.000266
0.00276, 0.9984, 0.000375
0.00310, 0.9977, 0.000542
0.00354, 0.9974, 0.000811
0.00413, 0.9963, 0.00125
0.00496, 0.9948, 0.00215
0.00620, 0.9923, 0.00407
0.00689, 0.9911, 0.0053
0.00775, 0.9891, 0.00711
0.00827, 0.9881, 0.00816
0.00855, 0.9871, 0.00885
0.00886, 0.9860, 0.0100
0.00918, 0.9489, 0.0116
0.00954, 0.9846, 0.0135
0.00992, 0.9847, 0.0152
0.0103, 0.9846, 0.0166
0.0108, 0.9844, 0.0177
0.0113, 0.9829, 0.0193
0.0118, 0.9815, 0.0225
0.0124, 0.9815, 0.0268
0.0131, 0.9838, 0.031
0.0138, 0.986, 0.0330
0.0139, 0.987, 0.0337
0.0141, 0.987, 0.0334
0.0143, 0.987, 0.0334
0.0144, 0.987, 0.0336
0.0148, 0.988, 0.0345
0.0151, 0.988, 0.0352
0.0155, 0.987, 0.036
0.0159, 0.986, 0.0374
0.0163, 0.984, 0.0414
0.0168, 0.986, 0.0475
0.0172, 0.992, 0.0526
0.0177, 1, 0.0533
0.0182, 1.005, 0.0503
0.0188, 1.008, 0.0458
0.0194, 1.008, 0.0432
0.02, 1.008, 0.0414
0.0207, 1.008, 0.0409
0.021, 1.008, 0.041
0.0234, 1.009, 0.0408
0.0218, 1.01, 0.0409
0.0221, 1.01, 0.0418
0.0223, 1.012, 0.0412
0.0225, 1.013, 0.0406
0.0227, 1.013, 0.0398
0.023, 1.014, 0.0401
0.0232, 1.015, 0.0407
0.0234, 1.017, 0.0393
0.0236, 1.018, 0.0339
0.0238, 1.019, 0.0376
0.0241, 1.02, 0.0372
0.0243, 1.021, 0.0358
0.0246, 1.023, 0.0379
0.0248, 1.03, 0.0417
0.0249, 1.04, 0.0418
0.025, 1.05, 0.0338
0.0251, 1.053, 0.0106
0.0252, 1.04, 0.00492
0.0253, 1.033, 0.00492
0.0256, 1.023, 0.00496
0.0258, 1.018, 0.00502
0.027, 1.004, 0.00597
0.0282, 0.997, 0.00686
0.0295, 0.989, 0.00736
0.031, 0.982, 0.00884
0.0326, 0.975, 0.0102
0.0344, 0.967, 0.0141
0.0365, 0.959, 0.0141
0.0387, 0.95, 0.0154
0.0413, 0.939, 0.0169
0.0443, 0.924, 0.0196
0.0477, 0.906, 0.0252
0.0517, 0.885, 0.033
0.0564, 0.861, 0.0454
0.062, 0.833, 0.0592
0.0689, 0.798, 0.0731
0.0775, 0.741, 0.0792
0.0827, 0.692, 0.0916
0.0886, 0.644, 0.111
0.0954, 0.577, 0.127
0.103, 0.477, 0.145
0.108, 0.404, 0.158
0.113, 0.293, 0.176
0.118, 0.11, 0.296
0.124, 0.0723, 0.499
0.131, 0.0691, 0.647
0.138, 0.0717, 0.787
0.146, 0.0858, 0.926
0.155, 0.115, 1.06
0.165, 0.155, 1.19
0.17, 0.171, 1.23
0.175, 0.184, 1.27
0.18, 0.194, 1.31
0.185, 0.199, 1.35
0.191, 0.197, 1.39
0.197, 0.187, 1.44
0.203, 0.166, 1.49
0.21, 0.14, 1.56
0.218, 0.121, 1.64
0.225, 0.112, 1.74
0.248, 0.111, 2
0.31, 0.132, 2.63
0.413, 0.184, 3.66
0.62, 0.382, 5.74
0.827, 0.791, 7.96
1.24, 2.977, 12.8
1.38, 4.776, 14.5
1.55, 8.269, 15.5
1.77, 11.2, 10.2
1.91, 8.809, 8.98
2.07, 6.056, 9.33
2.25, 4.194, 12.2
2.48, 4.509, 14.7
2.76, 5.056, 16.8
3.1, 6.069, 19.5
3.54, 7.519, 22.2
4.13, 9.516, 25.1
4.96, 12.3, 28.8
6.2, 15.2, 32.6
8.27, 18.9, 37.6
12.4, 23.8, 48.8
17.7, 30.3, 60.2
